X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
-9.79999974e-02, 6.30000001e-03, 0.00000000e+00, 1.72284711e-02
-9.79999974e-02, 6.32000016e-03, 0.00000000e+00, 1.72250438e-02
-9.79999974e-02, 6.33999985e-03, 0.00000000e+00, 1.72216166e-02
-9.79999974e-02, 6.36000000e-03, 0.00000000e+00, 1.72181930e-02
-9.79999974e-02, 6.38000015e-03, 0.00000000e+00, 1.72147676e-02
-9.79999974e-02, 6.39999984e-03, 0.00000000e+00, 1.72113404e-02
-9.79999974e-02, 6.41999999e-03, 0.00000000e+00, 1.72079150e-02
-9.79999974e-02, 6.44000014e-03, 0.00000000e+00, 1.72044877e-02
-9.79999974e-02, 6.45999983e-03, 0.00000000e+00, 1.72010660e-02
-9.79999974e-02, 6.47999998e-03, 0.00000000e+00, 1.71976462e-02
-9.79999974e-02, 6.50000013e-03, 0.00000000e+00, 1.71942208e-02
-9.79999974e-02, 6.51999982e-03, 0.00000000e+00, 1.71907991e-02
-9.79999974e-02, 6.53999997e-03, 0.00000000e+00, 1.71873793e-02
-9.79999974e-02, 6.56000013e-03, 0.00000000e+00, 1.71839576e-02
-9.79999974e-02, 6.57999981e-03, 0.00000000e+00, 1.71805378e-02
-9.79999974e-02, 6.59999996e-03, 0.00000000e+00, 1.71771180e-02
-9.79999974e-02, 6.62000012e-03, 0.00000000e+00, 1.71736963e-02
-9.79999974e-02, 6.63999980e-03, 0.00000000e+00, 1.71702784e-02
-9.79999974e-02, 6.65999996e-03, 0.00000000e+00, 1.71668604e-02
-9.79999974e-02, 6.68000011e-03, 0.00000000e+00, 1.71634443e-02
-9.79999974e-02, 6.69999979e-03, 0.00000000e+00, 1.71600282e-02
-9.79999974e-02, 6.71999995e-03, 0.00000000e+00, 1.71561390e-02
-9.79999974e-02, 6.74000010e-03, 0.00000000e+00, 1.71521548e-02
-9.79999974e-02, 6.75999979e-03, 0.00000000e+00, 1.71481688e-02
-9.79999974e-02, 6.77999994e-03, 0.00000000e+00, 1.71441901e-02
-9.79999974e-02, 6.80000009e-03, 0.00000000e+00, 1.71402078e-02
-9.79999974e-02, 6.81999978e-03, 0.00000000e+00, 1.71362273e-02
-9.79999974e-02, 6.83999993e-03, 0.00000000e+00, 1.71322487e-02
-9.79999974e-02, 6.86000008e-03, 0.00000000e+00, 1.71282701e-02
-9.79999974e-02, 6.87999977e-03, 0.00000000e+00, 1.71242915e-02
-9.79999974e-02, 6.89999992e-03, 0.00000000e+00, 1.71203129e-02
